,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
AlphaFold-rsa,30,0.888,0.749,0.878,0.857,0.836,0.177,0.08,0.046,0.777,0.795,0.813,0.92,0.893,0.954,0.823,0.551
AlphaFold-rsa,31,0.889,0.749,0.878,0.857,0.836,0.177,0.078,0.045,0.778,0.796,0.815,0.922,0.893,0.955,0.823,0.551
AlphaFold-rsa,32,0.888,0.748,0.877,0.856,0.835,0.178,0.079,0.046,0.776,0.795,0.813,0.921,0.892,0.954,0.822,0.551
AlphaFold-rsa,33,0.89,0.752,0.88,0.859,0.838,0.175,0.078,0.045,0.78,0.798,0.817,0.922,0.895,0.955,0.825,0.551
AlphaFold-rsa,34,0.891,0.753,0.88,0.859,0.839,0.174,0.077,0.045,0.781,0.799,0.818,0.923,0.895,0.955,0.826,0.551
AlphaFold-rsa,35,0.888,0.749,0.878,0.856,0.835,0.179,0.08,0.045,0.776,0.795,0.814,0.92,0.894,0.955,0.821,0.551
AlphaFold-rsa,36,0.887,0.745,0.876,0.854,0.833,0.18,0.08,0.046,0.774,0.792,0.811,0.92,0.891,0.954,0.82,0.551
AlphaFold-rsa,37,0.887,0.747,0.878,0.855,0.834,0.179,0.081,0.046,0.775,0.793,0.812,0.919,0.893,0.954,0.821,0.551
AlphaFold-rsa,38,0.888,0.747,0.877,0.856,0.835,0.178,0.079,0.046,0.776,0.794,0.813,0.921,0.892,0.954,0.822,0.551
AlphaFold-rsa,39,0.89,0.751,0.877,0.857,0.838,0.174,0.077,0.046,0.78,0.797,0.814,0.923,0.891,0.954,0.826,0.551
AlphaFold-rsa,40,0.889,0.751,0.879,0.858,0.838,0.175,0.079,0.046,0.779,0.797,0.815,0.921,0.894,0.954,0.825,0.551
AlphaFold-rsa,41,0.89,0.753,0.881,0.859,0.838,0.176,0.078,0.044,0.78,0.799,0.819,0.922,0.897,0.956,0.824,0.551
AlphaFold-rsa,42,0.889,0.75,0.879,0.857,0.836,0.178,0.08,0.045,0.777,0.796,0.815,0.92,0.895,0.955,0.822,0.551
AlphaFold-rsa,43,0.889,0.751,0.88,0.858,0.837,0.176,0.079,0.045,0.779,0.797,0.816,0.921,0.895,0.955,0.824,0.551
AlphaFold-rsa,44,0.89,0.753,0.881,0.859,0.838,0.176,0.079,0.044,0.78,0.799,0.818,0.921,0.897,0.956,0.824,0.551
AlphaFold-rsa,45,0.887,0.745,0.876,0.854,0.833,0.181,0.08,0.046,0.773,0.792,0.812,0.92,0.892,0.954,0.819,0.551
AlphaFold-rsa,46,0.889,0.75,0.879,0.857,0.836,0.177,0.079,0.045,0.778,0.796,0.815,0.921,0.894,0.955,0.823,0.551
AlphaFold-rsa,47,0.889,0.75,0.878,0.857,0.838,0.175,0.078,0.046,0.779,0.796,0.814,0.922,0.892,0.954,0.825,0.551
AlphaFold-rsa,48,0.889,0.75,0.878,0.857,0.838,0.175,0.078,0.046,0.779,0.796,0.814,0.922,0.892,0.954,0.825,0.551
AlphaFold-rsa,49,0.888,0.748,0.877,0.856,0.836,0.177,0.079,0.046,0.777,0.795,0.813,0.921,0.892,0.954,0.823,0.551
AlphaFold-rsa,50,0.888,0.748,0.879,0.856,0.834,0.18,0.081,0.045,0.775,0.795,0.814,0.919,0.895,0.955,0.82,0.551
AlphaFold-rsa,51,0.889,0.75,0.879,0.857,0.836,0.177,0.079,0.045,0.778,0.796,0.815,0.921,0.894,0.955,0.823,0.551
AlphaFold-rsa,52,0.891,0.755,0.882,0.86,0.839,0.175,0.078,0.043,0.782,0.801,0.82,0.922,0.898,0.957,0.825,0.551
AlphaFold-rsa,53,0.889,0.751,0.88,0.858,0.837,0.177,0.08,0.044,0.779,0.797,0.816,0.92,0.896,0.956,0.823,0.551
AlphaFold-rsa,54,0.89,0.751,0.879,0.858,0.837,0.176,0.078,0.045,0.779,0.798,0.816,0.922,0.894,0.955,0.824,0.551
AlphaFold-rsa,55,0.89,0.752,0.88,0.859,0.838,0.175,0.079,0.045,0.78,0.798,0.816,0.921,0.895,0.955,0.825,0.551
AlphaFold-rsa,56,0.891,0.755,0.882,0.86,0.839,0.174,0.078,0.044,0.782,0.801,0.819,0.922,0.897,0.956,0.826,0.551
