,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
AlphaFold-rsa,5,0.892,0.74,0.847,0.85,0.854,0.143,0.067,0.073,0.784,0.781,0.777,0.933,0.844,0.927,0.857,0.5
AlphaFold-rsa,6,0.895,0.743,0.846,0.852,0.859,0.137,0.063,0.074,0.789,0.784,0.779,0.937,0.842,0.926,0.863,0.5
AlphaFold-rsa,7,0.893,0.742,0.847,0.851,0.856,0.141,0.066,0.074,0.785,0.782,0.778,0.934,0.844,0.926,0.859,0.5
AlphaFold-rsa,8,0.895,0.743,0.846,0.852,0.859,0.137,0.064,0.074,0.789,0.784,0.778,0.936,0.842,0.926,0.863,0.5
AlphaFold-rsa,9,0.893,0.741,0.847,0.851,0.856,0.141,0.066,0.074,0.785,0.782,0.778,0.934,0.844,0.926,0.859,0.5
AlphaFold-rsa,10,0.894,0.742,0.845,0.851,0.858,0.138,0.064,0.075,0.787,0.782,0.777,0.936,0.841,0.925,0.862,0.5
AlphaFold-rsa,11,0.893,0.743,0.848,0.852,0.856,0.141,0.066,0.073,0.786,0.783,0.779,0.934,0.845,0.927,0.859,0.5
AlphaFold-rsa,12,0.893,0.741,0.846,0.851,0.856,0.141,0.065,0.073,0.786,0.782,0.778,0.935,0.843,0.927,0.859,0.5
AlphaFold-rsa,13,0.893,0.744,0.848,0.853,0.858,0.138,0.066,0.075,0.787,0.783,0.778,0.934,0.844,0.925,0.862,0.5
AlphaFold-rsa,14,0.894,0.742,0.845,0.852,0.859,0.137,0.064,0.075,0.788,0.782,0.777,0.936,0.841,0.925,0.863,0.5
AlphaFold-rsa,15,0.896,0.748,0.852,0.856,0.86,0.137,0.064,0.072,0.791,0.788,0.785,0.936,0.849,0.928,0.863,0.5
AlphaFold-rsa,16,0.894,0.744,0.847,0.853,0.859,0.137,0.064,0.074,0.789,0.784,0.779,0.936,0.843,0.926,0.863,0.5
AlphaFold-rsa,17,0.894,0.743,0.848,0.853,0.858,0.138,0.064,0.073,0.789,0.784,0.78,0.936,0.844,0.927,0.862,0.5
AlphaFold-rsa,18,0.893,0.741,0.846,0.851,0.857,0.14,0.066,0.074,0.786,0.781,0.777,0.934,0.843,0.926,0.86,0.5
AlphaFold-rsa,19,0.892,0.739,0.844,0.85,0.856,0.14,0.065,0.075,0.785,0.78,0.775,0.935,0.84,0.925,0.86,0.5
AlphaFold-rsa,20,0.895,0.746,0.849,0.854,0.859,0.137,0.064,0.074,0.789,0.786,0.781,0.936,0.845,0.926,0.863,0.5
AlphaFold-rsa,21,0.892,0.741,0.847,0.851,0.856,0.141,0.067,0.075,0.784,0.78,0.777,0.933,0.844,0.925,0.859,0.5
