predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
auc,0.526,0.526,0.95,0.95,0.899,0.899
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.589,0.377,0.445,0.031,0.782,0.111,0.764
0.588,0.378,0.445,0.031,0.783,0.112,0.765
0.587,0.378,0.446,0.031,0.785,0.113,0.765
0.586,0.379,0.447,0.032,0.786,0.114,0.766
0.585,0.38,0.447,0.032,0.787,0.114,0.767
0.584,0.381,0.448,0.032,0.788,0.115,0.768
0.583,0.382,0.449,0.033,0.79,0.116,0.769
0.582,0.383,0.45,0.033,0.791,0.117,0.77
0.581,0.384,0.451,0.033,0.792,0.118,0.771
0.58,0.385,0.452,0.034,0.793,0.118,0.771
0.579,0.385,0.452,0.034,0.794,0.119,0.772
0.578,0.386,0.453,0.035,0.795,0.12,0.772
0.577,0.387,0.454,0.035,0.797,0.121,0.773
0.576,0.388,0.455,0.035,0.798,0.122,0.774
0.575,0.389,0.456,0.036,0.799,0.122,0.775
0.574,0.39,0.457,0.036,0.8,0.123,0.775
0.573,0.391,0.457,0.037,0.801,0.124,0.776
0.572,0.392,0.458,0.037,0.802,0.124,0.777
0.571,0.393,0.459,0.038,0.804,0.125,0.778
0.57,0.394,0.46,0.038,0.805,0.126,0.779
0.569,0.395,0.46,0.038,0.806,0.127,0.779
0.568,0.396,0.461,0.039,0.807,0.128,0.78
0.567,0.397,0.462,0.039,0.807,0.128,0.781
0.566,0.398,0.463,0.039,0.808,0.129,0.782
0.565,0.398,0.463,0.04,0.809,0.13,0.783
0.564,0.399,0.464,0.04,0.81,0.13,0.783
0.563,0.4,0.465,0.04,0.811,0.131,0.784
0.562,0.401,0.466,0.041,0.812,0.132,0.785
0.561,0.402,0.467,0.041,0.813,0.133,0.786
0.56,0.403,0.467,0.042,0.814,0.134,0.786
0.559,0.404,0.468,0.042,0.815,0.135,0.787
0.558,0.404,0.469,0.042,0.816,0.135,0.788
0.557,0.406,0.469,0.043,0.817,0.136,0.789
0.556,0.407,0.47,0.043,0.818,0.137,0.79
0.555,0.408,0.471,0.044,0.819,0.138,0.79
0.554,0.408,0.472,0.044,0.82,0.138,0.791
0.553,0.409,0.473,0.044,0.822,0.14,0.792
0.552,0.41,0.473,0.045,0.823,0.14,0.792
0.551,0.411,0.474,0.045,0.824,0.141,0.793
0.55,0.412,0.475,0.046,0.825,0.142,0.794
0.549,0.413,0.476,0.046,0.826,0.143,0.794
0.548,0.414,0.476,0.047,0.827,0.144,0.795
0.547,0.415,0.477,0.047,0.828,0.145,0.796
0.546,0.416,0.478,0.048,0.829,0.145,0.797
0.545,0.417,0.479,0.048,0.83,0.146,0.797
0.544,0.418,0.479,0.049,0.83,0.147,0.798
0.543,0.418,0.48,0.049,0.831,0.148,0.799
0.542,0.419,0.48,0.05,0.832,0.149,0.8
0.541,0.42,0.481,0.05,0.833,0.15,0.8
0.54,0.421,0.482,0.051,0.833,0.151,0.801
0.539,0.422,0.483,0.051,0.834,0.151,0.802
0.538,0.423,0.484,0.051,0.835,0.153,0.802
0.537,0.424,0.484,0.052,0.836,0.153,0.803
0.536,0.425,0.485,0.052,0.836,0.154,0.804
0.535,0.426,0.486,0.053,0.837,0.155,0.804
0.534,0.427,0.486,0.053,0.838,0.156,0.805
0.533,0.428,0.487,0.054,0.839,0.157,0.805
0.532,0.428,0.488,0.055,0.839,0.157,0.806
0.531,0.429,0.489,0.055,0.84,0.158,0.807
0.53,0.43,0.49,0.056,0.841,0.159,0.807
0.529,0.431,0.491,0.056,0.841,0.16,0.807
0.528,0.432,0.491,0.057,0.842,0.161,0.808
0.527,0.433,0.492,0.057,0.843,0.162,0.809
0.526,0.434,0.493,0.058,0.843,0.162,0.809
0.525,0.435,0.494,0.058,0.844,0.163,0.81
0.524,0.436,0.494,0.059,0.845,0.164,0.811
0.523,0.436,0.496,0.059,0.845,0.166,0.812
0.522,0.438,0.496,0.06,0.846,0.166,0.812
0.521,0.439,0.497,0.06,0.847,0.167,0.813
0.52,0.439,0.498,0.061,0.847,0.168,0.813
0.519,0.44,0.498,0.061,0.848,0.169,0.814
0.518,0.441,0.499,0.062,0.849,0.17,0.815
0.517,0.442,0.5,0.063,0.849,0.171,0.815
0.516,0.443,0.501,0.063,0.85,0.172,0.816
0.515,0.444,0.501,0.064,0.851,0.173,0.817
0.514,0.445,0.502,0.064,0.852,0.174,0.817
0.513,0.446,0.503,0.065,0.852,0.174,0.818
0.512,0.447,0.503,0.065,0.853,0.175,0.818
0.511,0.448,0.504,0.066,0.854,0.176,0.819
0.51,0.449,0.505,0.067,0.854,0.177,0.82
