,LIPNet,LIPNet,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred,AIUPred,AIUPred
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.852,57813.0,10025.0,24581.0,6820.0,67662.0,176.0,19669.0,11732.0,67361.0,391.0,17062.0,14304.0
0.851,57751.0,10087.0,24549.0,6852.0,67662.0,176.0,19569.0,11832.0,67358.0,394.0,16993.0,14373.0
0.85,57694.0,10144.0,24515.0,6886.0,67660.0,178.0,19470.0,11931.0,67346.0,406.0,16941.0,14425.0
0.849,57620.0,10218.0,24483.0,6918.0,67656.0,182.0,19372.0,12029.0,67341.0,411.0,16879.0,14487.0
0.848,57572.0,10266.0,24450.0,6951.0,67656.0,182.0,19271.0,12130.0,67337.0,415.0,16811.0,14555.0
0.847,57517.0,10321.0,24421.0,6980.0,67656.0,182.0,19185.0,12216.0,67328.0,424.0,16737.0,14629.0
0.846,57455.0,10383.0,24386.0,7015.0,67654.0,184.0,19111.0,12290.0,67318.0,434.0,16679.0,14687.0
0.845,57394.0,10444.0,24361.0,7040.0,67652.0,186.0,19031.0,12370.0,67307.0,445.0,16604.0,14762.0
0.844,57333.0,10505.0,24321.0,7080.0,67651.0,187.0,18952.0,12449.0,67298.0,454.0,16530.0,14836.0
0.843,57266.0,10572.0,24279.0,7122.0,67649.0,189.0,18861.0,12540.0,67291.0,461.0,16486.0,14880.0
0.842,57218.0,10620.0,24250.0,7151.0,67648.0,190.0,18793.0,12608.0,67287.0,465.0,16424.0,14942.0
0.841,57162.0,10676.0,24208.0,7193.0,67645.0,193.0,18704.0,12697.0,67281.0,471.0,16368.0,14998.0
0.84,57095.0,10743.0,24182.0,7219.0,67644.0,194.0,18630.0,12771.0,67271.0,481.0,16313.0,15053.0
0.839,57040.0,10798.0,24149.0,7252.0,67643.0,195.0,18548.0,12853.0,67254.0,498.0,16252.0,15114.0
0.838,56985.0,10853.0,24121.0,7280.0,67643.0,195.0,18478.0,12923.0,67244.0,508.0,16183.0,15183.0
0.837,56925.0,10913.0,24082.0,7319.0,67639.0,199.0,18410.0,12991.0,67235.0,517.0,16117.0,15249.0
0.836,56863.0,10975.0,24056.0,7345.0,67638.0,200.0,18343.0,13058.0,67226.0,526.0,16070.0,15296.0
0.835,56798.0,11040.0,24027.0,7374.0,67638.0,200.0,18255.0,13146.0,67219.0,533.0,16009.0,15357.0
0.834,56740.0,11098.0,24007.0,7394.0,67638.0,200.0,18177.0,13224.0,67203.0,549.0,15964.0,15402.0
0.833,56686.0,11152.0,23969.0,7432.0,67631.0,207.0,18101.0,13300.0,67191.0,561.0,15909.0,15457.0
0.832,56619.0,11219.0,23929.0,7472.0,67628.0,210.0,18007.0,13394.0,67183.0,569.0,15852.0,15514.0
0.831,56564.0,11274.0,23900.0,7501.0,67627.0,211.0,17932.0,13469.0,67175.0,577.0,15798.0,15568.0
0.83,56503.0,11335.0,23875.0,7526.0,67625.0,213.0,17871.0,13530.0,67163.0,589.0,15736.0,15630.0
0.829,56451.0,11387.0,23843.0,7558.0,67625.0,213.0,17805.0,13596.0,67146.0,606.0,15690.0,15676.0
0.828,56393.0,11445.0,23817.0,7584.0,67623.0,215.0,17734.0,13667.0,67139.0,613.0,15631.0,15735.0
0.827,56326.0,11512.0,23784.0,7617.0,67621.0,217.0,17668.0,13733.0,67127.0,625.0,15584.0,15782.0
0.826,56257.0,11581.0,23752.0,7649.0,67617.0,221.0,17605.0,13796.0,67123.0,629.0,15535.0,15831.0
0.825,56189.0,11649.0,23724.0,7677.0,67615.0,223.0,17548.0,13853.0,67111.0,641.0,15475.0,15891.0
0.824,56121.0,11717.0,23701.0,7700.0,67612.0,226.0,17488.0,13913.0,67101.0,651.0,15421.0,15945.0
0.823,56065.0,11773.0,23666.0,7735.0,67611.0,227.0,17434.0,13967.0,67091.0,661.0,15370.0,15996.0
0.822,55993.0,11845.0,23631.0,7770.0,67611.0,227.0,17376.0,14025.0,67075.0,677.0,15313.0,16053.0
0.821,55941.0,11897.0,23598.0,7803.0,67608.0,230.0,17313.0,14088.0,67070.0,682.0,15268.0,16098.0
0.82,55874.0,11964.0,23564.0,7837.0,67604.0,234.0,17240.0,14161.0,67057.0,695.0,15225.0,16141.0
0.819,55814.0,12024.0,23539.0,7862.0,67601.0,237.0,17181.0,14220.0,67047.0,705.0,15180.0,16186.0
0.818,55739.0,12099.0,23511.0,7890.0,67597.0,241.0,17113.0,14288.0,67036.0,716.0,15124.0,16242.0
0.817,55662.0,12176.0,23479.0,7922.0,67592.0,246.0,17052.0,14349.0,67026.0,726.0,15065.0,16301.0
0.816,55599.0,12239.0,23439.0,7962.0,67590.0,248.0,16985.0,14416.0,67007.0,745.0,15022.0,16344.0
0.815,55546.0,12292.0,23405.0,7996.0,67587.0,251.0,16919.0,14482.0,66998.0,754.0,14971.0,16395.0
0.814,55496.0,12342.0,23374.0,8027.0,67584.0,254.0,16857.0,14544.0,66989.0,763.0,14907.0,16459.0
0.813,55438.0,12400.0,23336.0,8065.0,67581.0,257.0,16813.0,14588.0,66978.0,774.0,14856.0,16510.0
0.812,55382.0,12456.0,23303.0,8098.0,67577.0,261.0,16751.0,14650.0,66967.0,785.0,14801.0,16565.0
0.811,55339.0,12499.0,23274.0,8127.0,67575.0,263.0,16700.0,14701.0,66957.0,795.0,14747.0,16619.0
0.81,55273.0,12565.0,23250.0,8151.0,67572.0,266.0,16638.0,14763.0,66944.0,808.0,14696.0,16670.0
0.809,55205.0,12633.0,23219.0,8182.0,67570.0,268.0,16577.0,14824.0,66937.0,815.0,14643.0,16723.0
0.808,55152.0,12686.0,23184.0,8217.0,67569.0,269.0,16514.0,14887.0,66924.0,828.0,14587.0,16779.0
0.807,55085.0,12753.0,23155.0,8246.0,67567.0,271.0,16448.0,14953.0,66911.0,841.0,14543.0,16823.0
0.806,55029.0,12809.0,23130.0,8271.0,67564.0,274.0,16387.0,15014.0,66897.0,855.0,14498.0,16868.0
0.805,54970.0,12868.0,23096.0,8305.0,67564.0,274.0,16324.0,15077.0,66883.0,869.0,14437.0,16929.0
0.804,54919.0,12919.0,23057.0,8344.0,67562.0,276.0,16262.0,15139.0,66878.0,874.0,14384.0,16982.0
0.803,54861.0,12977.0,23019.0,8382.0,67560.0,278.0,16200.0,15201.0,66869.0,883.0,14328.0,17038.0
0.802,54800.0,13038.0,22985.0,8416.0,67556.0,282.0,16152.0,15249.0,66855.0,897.0,14290.0,17076.0
0.801,54747.0,13091.0,22955.0,8446.0,67552.0,286.0,16101.0,15300.0,66840.0,912.0,14240.0,17126.0
0.8,54691.0,13147.0,22929.0,8472.0,67547.0,291.0,16050.0,15351.0,66824.0,928.0,14198.0,17168.0
0.799,54631.0,13207.0,22899.0,8502.0,67547.0,291.0,16003.0,15398.0,66805.0,947.0,14150.0,17216.0
0.798,54568.0,13270.0,22871.0,8530.0,67545.0,293.0,15950.0,15451.0,66788.0,964.0,14101.0,17265.0
0.797,54513.0,13325.0,22842.0,8559.0,67544.0,294.0,15904.0,15497.0,66771.0,981.0,14047.0,17319.0
0.796,54464.0,13374.0,22817.0,8584.0,67540.0,298.0,15841.0,15560.0,66759.0,993.0,14005.0,17361.0
0.795,54401.0,13437.0,22789.0,8612.0,67538.0,300.0,15788.0,15613.0,66735.0,1017.0,13950.0,17416.0
0.794,54335.0,13503.0,22764.0,8637.0,67535.0,303.0,15742.0,15659.0,66717.0,1035.0,13896.0,17470.0
0.793,54277.0,13561.0,22727.0,8674.0,67532.0,306.0,15681.0,15720.0,66707.0,1045.0,13840.0,17526.0
0.792,54204.0,13634.0,22696.0,8705.0,67528.0,310.0,15633.0,15768.0,66693.0,1059.0,13794.0,17572.0
