predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
0.728,0.333,0.375,0.598,0.973,0.649,0.897
0.727,0.334,0.375,0.599,0.973,0.651,0.897
0.726,0.335,0.374,0.6,0.973,0.652,0.896
0.725,0.336,0.374,0.601,0.972,0.653,0.895
0.724,0.337,0.374,0.603,0.972,0.654,0.895
0.723,0.337,0.374,0.604,0.972,0.655,0.894
0.722,0.338,0.374,0.605,0.972,0.656,0.893
0.721,0.339,0.374,0.607,0.972,0.657,0.892
0.72,0.34,0.374,0.608,0.972,0.658,0.891
0.719,0.341,0.373,0.609,0.971,0.659,0.89
0.718,0.342,0.374,0.61,0.971,0.66,0.889
0.717,0.343,0.374,0.612,0.971,0.661,0.888
0.716,0.344,0.373,0.613,0.971,0.662,0.887
0.715,0.345,0.373,0.615,0.971,0.663,0.886
0.714,0.345,0.373,0.616,0.971,0.664,0.885
0.713,0.346,0.373,0.617,0.97,0.665,0.884
0.712,0.347,0.372,0.619,0.97,0.666,0.883
0.711,0.348,0.372,0.621,0.97,0.667,0.882
0.71,0.349,0.372,0.622,0.97,0.668,0.881
0.709,0.349,0.372,0.623,0.969,0.669,0.88
0.708,0.351,0.372,0.625,0.969,0.67,0.879
0.707,0.351,0.371,0.626,0.969,0.67,0.878
0.706,0.352,0.371,0.627,0.969,0.671,0.877
0.705,0.352,0.371,0.628,0.969,0.672,0.876
0.704,0.353,0.371,0.63,0.969,0.673,0.875
0.703,0.354,0.37,0.631,0.969,0.674,0.875
0.702,0.355,0.37,0.633,0.968,0.675,0.874
0.701,0.355,0.37,0.634,0.968,0.676,0.873
0.7,0.356,0.369,0.635,0.968,0.677,0.872
0.699,0.357,0.369,0.636,0.967,0.678,0.872
0.698,0.357,0.369,0.638,0.967,0.679,0.87
0.697,0.358,0.369,0.639,0.966,0.68,0.869
0.696,0.359,0.368,0.641,0.966,0.681,0.868
0.695,0.36,0.368,0.642,0.966,0.682,0.867
0.694,0.361,0.368,0.644,0.966,0.683,0.866
0.693,0.362,0.368,0.645,0.965,0.684,0.865
0.692,0.362,0.368,0.646,0.965,0.685,0.865
0.691,0.363,0.368,0.647,0.965,0.686,0.863
0.69,0.364,0.367,0.648,0.965,0.686,0.862
0.689,0.365,0.367,0.65,0.964,0.687,0.861
0.688,0.365,0.367,0.651,0.964,0.688,0.86
0.687,0.366,0.366,0.652,0.964,0.689,0.859
0.686,0.367,0.366,0.654,0.963,0.69,0.858
0.685,0.368,0.366,0.655,0.963,0.69,0.857
0.684,0.368,0.366,0.656,0.963,0.691,0.856
0.683,0.369,0.366,0.658,0.963,0.692,0.855
0.682,0.37,0.366,0.66,0.963,0.693,0.853
0.681,0.371,0.366,0.661,0.962,0.694,0.853
0.68,0.371,0.365,0.662,0.962,0.694,0.852
0.679,0.372,0.365,0.663,0.962,0.695,0.851
0.678,0.373,0.365,0.665,0.961,0.696,0.85
0.677,0.374,0.365,0.666,0.961,0.697,0.849
0.676,0.374,0.364,0.667,0.96,0.698,0.848
0.675,0.375,0.364,0.668,0.96,0.699,0.847
0.674,0.376,0.364,0.67,0.96,0.699,0.845
0.673,0.376,0.364,0.671,0.959,0.7,0.844
0.672,0.377,0.364,0.672,0.959,0.701,0.843
0.671,0.378,0.364,0.673,0.958,0.702,0.842
0.67,0.379,0.363,0.674,0.958,0.703,0.841
0.669,0.379,0.363,0.676,0.957,0.704,0.84
0.668,0.38,0.363,0.677,0.957,0.704,0.839
0.667,0.381,0.363,0.678,0.957,0.705,0.839
0.666,0.381,0.363,0.679,0.957,0.706,0.838
0.665,0.382,0.363,0.68,0.957,0.707,0.837
0.664,0.383,0.363,0.681,0.956,0.708,0.836
0.663,0.384,0.363,0.682,0.956,0.709,0.835
0.662,0.385,0.363,0.684,0.955,0.71,0.834
0.661,0.386,0.363,0.685,0.955,0.71,0.833
0.66,0.387,0.362,0.686,0.955,0.711,0.832
0.659,0.388,0.362,0.688,0.954,0.712,0.831
0.658,0.388,0.362,0.689,0.954,0.713,0.83
0.657,0.389,0.362,0.69,0.954,0.714,0.829
0.656,0.39,0.361,0.692,0.953,0.714,0.828
0.655,0.391,0.361,0.693,0.953,0.715,0.827
0.654,0.392,0.362,0.694,0.952,0.716,0.826
0.653,0.393,0.361,0.696,0.952,0.717,0.824
